wavelength,transmission
3000.0,0.9999999828402604
3000.25,0.9999999828359483
3000.5,0.9999999828316362
3000.75,0.9999999828272238
3001.0,0.9999999828227111
3001.25,0.9999999828183991
3001.5,0.999999982814087
3001.75,0.9999999828097749
3002.0,0.9999999828054628
3002.25,0.9999999828011507
3002.5,0.9999999827962368
3002.75,0.9999999827914233
3003.0,0.9999999827871112
3003.25,0.9999999827826989
3003.5,0.9999999827783868
3003.75,0.9999999827740746
3004.0,0.9999999827697625
3004.25,0.9999999827654504
3004.5,0.9999999827610381
3004.75,0.999999982756726
3005.0,0.9999999827523136
3005.25,0.9999999827473999
3005.5,0.9999999827422855
3005.75,0.9999999827378732
3006.0,0.9999999827316557
3006.25,0.9999999827272433
3006.5,0.9999999827229312
3006.75,0.9999999827186191
3007.0,0.9999999827142068
3007.25,0.9999999827089922
3007.5,0.9999999827045797
3007.75,0.9999999827002676
3008.0,0.9999999826959555
3008.25,0.9999999826915431
3008.5,0.999999982687231
3008.75,0.9999999826829189
3009.0,0.9999999826785065
3009.25,0.9999999826741944
3009.5,0.9999999826697821
3009.75,0.99999998266547
3010.0,0.9999999826580492
3010.25,0.9999999826534363
3010.5,0.9999999826491242
3010.75,0.9999999826408008
3011.0,0.9999999826363885
3011.25,0.9999999826320763
3011.5,0.999999982627664
3011.75,0.9999999826233519
3012.0,0.9999999826189395
3012.25,0.9999999826136245
3012.5,0.9999999826092122
3012.75,0.9999999826047998
3013.0,0.9999999826003875
3013.25,0.9999999825960754
3013.5,0.9999999825915626
3013.75,0.9999999825871503
3014.0,0.9999999825828382
3014.25,0.9999999825784258
3014.5,0.9999999825741137
3014.75,0.9999999825697014
3015.0,0.999999982565289
3015.25,0.9999999825609769
3015.5,0.9999999825565645
3015.75,0.9999999825521521
3016.0,0.9999999825477397
3016.25,0.9999999825434276
3016.5,0.9999999825390152
3016.75,0.9999999825346029
3017.0,0.9999999825289871
3017.25,0.9999999825245748
3017.5,0.9999999825202627
3017.75,0.9999999825158503
3018.0,0.9999999825114378
3018.25,0.9999999825070255
3018.5,0.9999999825026131
3018.75,0.999999982498301
3019.0,0.9999999824902785
3019.25,0.9999999824858662
3019.5,0.9999999824814537
3019.75,0.9999999824756375
3020.0,0.9999999824712251
3020.25,0.9999999824665119
3020.5,0.9999999824620994
3020.75,0.999999982456584
3021.0,0.9999999824521716
3021.25,0.9999999824478595
3021.5,0.999999982439135
3021.75,0.9999999824347227
3022.0,0.9999999824303103
3022.25,0.9999999824257977
3022.5,0.9999999824213852
3022.75,0.9999999824169729
3023.0,0.9999999824115576
3023.25,0.9999999824071453
3023.5,0.9999999824027329
3023.75,0.9999999823983206
3024.0,0.999999982393106
3024.25,0.9999999823886936
3024.5,0.9999999823842811
3024.75,0.9999999823798688
3025.0,0.9999999823754564
3025.25,0.9999999823709438
3025.5,0.9999999823665313
3025.75,0.9999999823619184
3026.0,0.9999999823543974
3026.25,0.999999982349985
3026.5,0.9999999823455725
3026.75,0.9999999823376503
3027.0,0.999999982333238
3027.25,0.9999999823288256
3027.5,0.9999999823241124
3027.75,0.9999999823195997
3028.0,0.9999999823151873
3028.25,0.9999999823107749
3028.5,0.9999999823063626
3028.75,0.9999999823019502
3029.0,0.9999999822974376
3029.25,0.9999999822929249
3029.5,0.9999999822885125
3029.75,0.9999999822839999
3030.0,0.9999999822792867
3030.25,0.9999999822748742
3030.5,0.9999999822703616
3030.75,0.999999982258027
3031.0,0.9999999822536146
3031.25,0.9999999822492022
3031.5,0.9999999822446896
3031.75,0.9999999822402772
3032.0,0.9999999822358648
3032.25,0.9999999822313521
3032.5,0.9999999822268395
3032.75,0.9999999822223268
3033.0,0.9999999822175133
3033.25,0.9999999822111956
3033.5,0.9999999822067832
3033.75,0.9999999822023709
3034.0,0.9999999821978581
3034.25,0.9999999821933455
3034.5,0.9999999821887325
3034.75,0.9999999821841197
3035.0,0.9999999821795067
3035.25,0.9999999821750943
3035.5,0.9999999821673726
3035.75,0.99999998216286
3036.0,0.9999999821584477
3036.25,0.9999999821539349
3036.5,0.9999999821495226
3036.75,0.99999998214501
3037.0,0.9999999821404972
3037.25,0.9999999821354831
3037.5,0.9999999821310708
3037.75,0.9999999821265582
3038.0,0.9999999821220454
3038.25,0.9999999821176331
3038.5,0.9999999821131205
3038.75,0.9999999821086077
3039.0,0.9999999821041954
3039.25,0.9999999820996828
3039.5,0.9999999820952704
3039.75,0.9999999820907577
3040.0,0.9999999820857437
3040.25,0.999999982081231
3040.5,0.999999982076618
3040.75,0.9999999820722056
3041.0,0.9999999820675928
3041.25,0.99999998206308
3041.5,0.9999999820585674
3041.75,0.9999999820540547
3042.0,0.9999999820440266
3042.25,0.9999999820386114
3042.5,0.9999999820340988
3042.75,0.9999999820296864
3043.0,0.9999999820251737
3043.25,0.9999999820206611
3043.5,0.9999999820139422
3043.75,0.9999999820094295
3044.0,0.9999999820049169
3044.25,0.9999999819935851
3044.5,0.9999999819890725
3044.75,0.9999999819806488
3045.0,0.9999999819761362
3045.25,0.9999999819716235
3045.5,0.9999999819671108
3045.75,0.9999999819625982
3046.0,0.9999999819579852
3046.25,0.9999999819534726
3046.5,0.9999999819489599
3046.75,0.9999999819444473
3047.0,0.9999999819399346
