#.,Instrum. design,,,,,Spectro design,,,,,Telescope,,,,,Obs. Startegy,,,,,,,,Instr perf,,,Detector,,,,,,,FB specific,,,,Imag.,,
Charact.,wavelength,Spectro description,FOV_size,Bandpass,pixel_scale,Bandwidth,Spectral_resolution,Slitwidth,Slitlength,dispersion,Name,Altitude,Collecting_area,Atmosphere,Sky,Signal,PSF_source,Line_width,acquisition_time,exposure_time,lambda_stack,Δx,Δλ,PSF_RMS_mask,PSF_RMS_det,Throughput,Detector_type,pixel_size,readout_time,RN,Dard_current,QE,cosmic_ray_loss_per_sec,smearing,CIC_charge,EM_gain,extra_background,Full_well,conversion_gain,Throughput_FWHM
Unit,nm,.,amin2,nm,"""/pix",Å,λ/dλ,"""","""",Å/pix,.,km,m2,%/100,"erg/cm2/s/""2/Å","erg/cm2/s/""2/Å",""" (σ)",Å,hour,sec,Å,"""",Å,""" σ",""" (σ)",%/100,.,μm,sec,e-/pix,e-/pix/hour,%/100,./sec,pix,e-/exp,e-/e-,e-/pix/hour,kADU,ADU/e-,Å
NIRSPEC,600,Multi-Object,9.60,600-28500,0.100,279000,1000,1.6,3.0,14.29,JWST,1000,34.21,1.00,3.00E-17,1.00E-16,5,15,2,1000,14.29,0.00,0.00,0.00,0.10,0.20,CCD,18.00,10.0,16,7,0.70,0.0000,0.0,0.000,1,0.10,60,1,279000
LUMOS,150,MOS,4.80,100-200,0.330,1000,8000,0.10,3.00,0.04,LUVOIR,1000,176.000,1.00,2.00E-17,1.00E-16,5,15,2,1000,0.02,0.00,0.00,0.00,0.02,0.80,emCCD,6.5,0.0,3,18,0.13,0.0000,0.0,0.000,1,0.10,60,1,1000
NISP,1000,Slit less,1983.19,900-1192,0.300,2920,380,42,NA,13.00,EUCLID,1000,1.13,1.00,1.00E-18,1.00E-16,5,15,2,565,13.00,0.00,0.00,0.00,0.23,0.50,HgCdTe,16,10.0,28,14,0.75,0.0001,0.0,0.000,1,0.10,60,1,2920
SUMIRE PFS Blue,500,Fiber,6084.00,380-650,0.939,2700,2300,1.1,1.1,0.70,Subaru,4,52.810,0.90,1.70E-17,1.00E-16,5,15,2,600,0.70,0.00,0.00,0.00,1.60,0.53,CCD 2Kx4K,15,106.0,2.5,1.4,0.9,0.0000,0.0,0.000,1,0.10,60,1,2700
ELT Harmony,600,Slicer,0.02,800-1350,0.040,5500,3300,0.040,0.06,0.69,ELT,3,1195,0.92,5.00E-18,1.00E-16,5,15,2,300,0.69,0.00,0.00,0.05,0.05,0.35,H4RG,15,10.0,18,36,0.8,0.0000,0.0,0.000,1,0.10,60,1,5500
SPHEREx,1000,Lin. var filters,284760.00,750-2420,6.200,16700,41,12600,NA,4.18,SPHEREx,1000,0.031,1.00,1.00E-18,1.00E-16,5,15,2,96,4.18,0.00,0.00,0.00,6.20,0.80,4x H2RG,6.2,4.0,4,180,0.8,0.0000,0.0,0.000,1,0.10,60,1,16700
JUNO-UVS,150,Slit,3600.00,68-210,148.000,1420,75,90.00,432.00,1.00,JUNO,1000,0.00001,1.00,1.00E-18,1.00E-16,5,15,2,30,1.00,0.00,0.00,540.00,540.00,1.00,MCP 2Kx256,50.00,0.0,0,0.090,0.30,0.0000,0.0,0.000,1,0.00,60,1,1420
CETUS,250,MSA MOS,289.00,180-350,0.400,1700,1000,2.00,360.00,0.42,CETUS,1000,1.77,1.00,1.00E-18,1.00E-16,5,15,2,1000,0.42,0.00,0.00,0.40,0.40,0.50,MCP,12.00,0.0,0,0.005,0.50,0.0000,0.0,0.000,1,0.00,60,1,1700
Blue MUSE,450,Slicer,2.00,350-580,0.200,2300,4000,0.200,0.200,0.40,VLT,3,52.810,0.90,1.13E-17,1.00E-16,5,15,2,500,0.40,0.00,0.00,0.00,0.02,0.35,CCD,15,95.0,2.6,3,0.70,0.0000,0.0,0.000,1,0.10,60,1,2300
CHaS,500,Lenslet,100.00,400-900,0.430,5000,10000,2,2,0.37,MDM,2,3.791,0.60,1.59E-17,1.00E-16,5,15,2,800,0.37,0.00,0.00,0.00,0.85,0.12,B4K,15,5.0,4.40,3,0.50,0.0000,0.0,0.000,1,0.10,60,1,5000
VLT MOONS,800,fibre,500.00,600-1800,0.500,12000,1000,1.200,1.200,0.35,VLT,3,52.810,0.90,1.13E-17,1.00E-16,5,15,2,30,0.35,0.00,0.00,0.00,1.00,30.00,4x H4RG-15,15,5.0,5.00,30,0.95,0.0000,0.0,0.040,1,0.00,100.00,0.47,4000
