wavelength,flux
314.023252835,0.06873882561922073
314.04825283499997,-0.4302472770214081
314.073252835,0.5831975340843201
314.098252835,0.5114027857780457
314.123252835,-0.025018323212862015
314.148252835,0.41050225496292114
314.17325283499997,0.7187590599060059
314.198252835,-0.13600324094295502
314.223252835,-0.09944728016853333
314.248252835,0.5341796875
314.273252835,0.430481880903244
314.29825283499997,0.4622025191783905
314.323252835,0.24644438922405243
314.348252835,0.3246585428714752
314.373252835,0.6940608024597168
314.398252835,0.04491255432367325
314.42325283499997,-0.1390344798564911
314.448252835,0.0707811713218689
314.473252835,0.30068403482437134
314.498252835,0.05643891915678978
314.523252835,0.037238724529743195
314.54825283499997,1.503366231918335
314.573252835,0.46924033761024475
314.598252835,0.36468952894210815
314.623252835,0.3039605915546417
314.648252835,-0.06148507446050644
314.67325283499997,0.1617542952299118
314.698252835,0.22966274619102478
314.723252835,0.7685980200767517
314.748252835,0.30355241894721985
314.773252835,0.7428469061851501
314.79825283499997,0.9110477566719055
314.823252835,0.917923092842102
314.848252835,0.32026004791259766
314.873252835,0.20613838732242584
314.898252835,-0.008329939097166061
314.92325283499997,0.2954401969909668
314.948252835,0.2758845090866089
314.973252835,-0.048543915152549744
314.998252835,-0.043879542499780655
315.023252835,0.19567814469337463
315.04825283499997,1.309996485710144
315.073252835,0.7011126279830933
315.098252835,0.1419011801481247
315.123252835,0.05046046897768974
315.148252835,0.3383254408836365
315.17325283499997,0.036169830709695816
315.198252835,0.29699602723121643
315.223252835,0.21762819588184357
315.248252835,0.06561294198036194
315.273252835,0.1694410890340805
315.29825283499997,0.2922510504722595
315.323252835,0.38150420784950256
315.348252835,0.24841822683811188
315.373252835,0.5356357097625732
315.398252835,0.1321767419576645
315.42325283499997,0.08616124838590622
315.448252835,0.12889009714126587
315.473252835,0.2853987216949463
315.498252835,0.22680972516536713
315.523252835,0.20190772414207458
315.54825283499997,0.11538641899824142
315.573252835,-0.0471513457596302
315.598252835,0.11795343458652496
315.623252835,-0.08131168782711029
315.648252835,0.019286267459392548
315.67325283499997,0.013991612941026688
315.698252835,-0.21639543771743774
315.723252835,0.94829922914505
315.748252835,1.0528466701507568
315.773252835,-0.0826711505651474
315.79825283499997,-0.18666276335716248
315.823252835,0.0013942980440333486
315.848252835,-0.5747810006141663
315.873252835,-0.4036005735397339
315.898252835,0.8020178079605103
315.92325283499997,-0.1799594759941101
315.948252835,-0.20317904651165009
