col0,col1,col2
1139.5,0.0,0.0
1140.5,0.0,0.4
1141.5,0.0,0.0
1142.5,0.0,0.8
1143.5,1.2,0.4
1144.5,0.0,0.4
1145.5,2.0,0.4
1146.5,2.8,2.8
1147.5,3.2,4.4
1148.5,2.8,4.8
1149.5,6.0,10.4
1150.5,13.2,17.2
1151.5,20.4,17.2
1152.5,25.2,31.6
1153.5,34.0,45.2
1154.5,36.0,52.4
1155.5,71.2,88.0
1156.5,85.2,114.0
1157.5,123.6,136.8
1158.5,170.0,212.0
1159.5,246.8,298.8
1160.5,326.8,383.2
1161.5,345.2,437.2
1162.5,501.6,636.4
1163.5,668.0,842.0
1164.5,837.6,1035.2
1165.5,1070.8,1313.2
1166.5,1335.2,1662.0
1167.5,1650.4,2028.4
1168.5,1792.8,2153.2
1169.5,2434.0,2839.2
1170.5,2850.8,3418.0
1171.5,3356.8,4032.0
1172.5,3941.6,4719.6
1173.5,4642.8,5423.6
1174.5,5317.6,6285.6
1175.5,5227.6,6112.8
1176.5,6632.0,7798.8
1177.5,7585.2,8590.4
1178.5,8269.2,9464.8
1179.5,8970.0,10342.4
1180.5,9781.2,11020.0
1181.5,10448.8,11690.4
1182.5,9772.4,10822.4
1183.5,11715.2,12823.6
1184.5,12156.8,13203.6
1185.5,12588.4,13454.4
1186.5,12878.8,13840.8
1187.5,13027.2,13855.6
1188.5,13074.4,13654.8
1189.5,11406.8,11980.0
1190.5,12845.2,13424.8
1191.5,12591.6,13004.0
1192.5,12247.6,12640.0
1193.5,11719.6,11896.8
1194.5,11324.4,11298.0
1195.5,10737.6,10428.4
1196.5,8788.8,8518.4
1197.5,9468.0,8914.0
1198.5,8700.8,8139.6
1199.5,7927.2,7479.6
1200.5,7120.8,6738.4
1201.5,6491.2,5912.8
1202.5,5883.6,5146.0
1203.5,4546.8,3977.2
1204.5,4588.4,4061.6
1205.5,4038.0,3518.8
1206.5,3530.0,2962.0
1207.5,3016.0,2488.4
1208.5,2618.8,2058.4
1209.5,2206.4,1704.8
1210.5,1625.6,1204.0
1211.5,1638.0,1188.0
1212.5,1337.2,994.4
1213.5,1156.4,796.4
1214.5,930.0,661.2
1215.5,767.2,534.8
1216.5,634.8,403.6
1217.5,486.0,309.2
1218.5,441.2,259.2
1219.5,380.0,212.4
1220.5,307.2,167.6
1221.5,263.2,137.6
1222.5,212.0,102.0
1223.5,187.6,78.4
1224.5,132.8,68.4
1225.5,144.8,57.6
1226.5,124.0,44.4
1227.5,119.2,34.8
1228.5,114.8,40.0
1229.5,100.0,25.2
1230.5,91.2,24.0
1231.5,70.0,24.0
1232.5,88.4,25.2
1233.5,88.4,27.2
1234.5,71.2,20.8
1235.5,78.8,22.8
1236.5,70.4,24.0
1237.5,66.8,16.8
1238.5,56.0,16.0
1239.5,67.2,16.0
1240.5,64.0,18.4
1241.5,56.4,20.0
1242.5,58.0,18.0
1243.5,56.4,15.2
1244.5,62.0,16.4
1245.5,50.0,12.0
1246.5,53.2,13.6
1247.5,62.4,11.2
1248.5,50.8,14.8
1249.5,64.8,14.0
1250.5,59.6,14.8
1251.5,54.0,11.6
1252.5,40.0,11.6
1253.5,55.6,18.8
1254.5,56.4,11.2
1255.5,51.2,16.4
1256.5,50.4,9.2
1257.5,51.2,7.6
1258.5,53.6,10.0
1259.5,49.6,11.2
1260.5,50.8,12.4
1261.5,51.6,11.6
1262.5,50.0,10.0
1263.5,46.8,9.6
1264.5,52.4,10.8
1265.5,51.2,8.4
1266.5,41.6,7.6
1267.5,54.8,10.0
1268.5,49.6,8.4
1269.5,55.2,9.6
1270.5,50.0,5.2
1271.5,45.2,11.2
1272.5,44.8,8.0
1273.5,39.6,6.4
1274.5,45.2,6.0
1275.5,44.4,6.4
1276.5,50.4,5.6
1277.5,43.2,6.8
1278.5,41.2,7.6
1279.5,53.2,7.6
1280.5,35.6,4.4
1281.5,44.4,11.2
1282.5,44.4,6.4
1283.5,41.6,9.6
1284.5,40.0,9.6
1285.5,46.8,7.6
1286.5,36.4,5.6
1287.5,40.8,4.4
1288.5,38.8,6.4
1289.5,47.6,5.2
1290.5,37.2,4.4
1291.5,42.0,6.0
1292.5,36.0,5.2
1293.5,46.4,4.4
1294.5,36.0,2.8
1295.5,38.8,6.8
1296.5,45.6,5.2
1297.5,41.6,5.6
1298.5,34.0,6.4
1299.5,40.0,7.6
1300.5,41.6,5.2
1301.5,35.2,2.8
1302.5,48.4,6.8
1303.5,36.8,4.8
1304.5,40.8,4.8
1305.5,46.8,1.6
1306.5,32.4,3.6
1307.5,39.2,2.8
1308.5,34.0,5.6
1309.5,34.8,3.6
1310.5,35.2,7.2
1311.5,35.2,6.4
1312.5,37.2,3.6
1313.5,34.4,1.6
1314.5,40.0,6.0
1315.5,32.4,6.0
1316.5,44.0,3.2
1317.5,34.8,4.8
1318.5,43.2,3.6
1319.5,35.6,5.2
1320.5,34.0,2.0
1321.5,29.2,4.0
1322.5,33.6,4.4
1323.5,37.6,4.4
1324.5,34.0,6.4
1325.5,33.6,5.6
1326.5,33.2,2.8
1327.5,25.2,4.0
1328.5,34.0,3.6
1329.5,36.0,1.6
1330.5,32.0,4.4
1331.5,34.8,4.0
1332.5,40.4,4.4
1333.5,36.8,2.8
1334.5,30.8,3.2
1335.5,30.4,2.4
1336.5,26.8,4.8
1337.5,32.8,2.0
1338.5,33.6,4.0
1339.5,34.8,2.0
1340.5,33.2,2.8
1341.5,24.0,3.6
1342.5,32.0,5.2
1343.5,31.2,1.2
1344.5,35.2,2.0
1345.5,32.8,4.8
1346.5,24.8,3.2
1347.5,34.8,2.4
1348.5,37.2,3.2
1349.5,30.4,2.8
1350.5,32.8,3.2
1351.5,26.0,2.4
1352.5,31.2,3.2
1353.5,33.6,4.8
1354.5,32.4,4.0
1355.5,26.8,3.2
1356.5,34.0,2.0
1357.5,25.6,1.6
1358.5,28.0,2.8
1359.5,27.6,2.0
1360.5,29.2,2.4
1361.5,29.6,2.4
1362.5,22.8,4.0
1363.5,26.4,2.0
1364.5,25.6,1.2
1365.5,23.6,3.6
1366.5,26.8,2.4
1367.5,32.8,2.4
1368.5,39.6,2.0
1369.5,30.4,2.8
1370.5,22.8,2.8
1371.5,28.4,2.0
1372.5,28.8,2.0
1373.5,19.6,3.2
1374.5,27.2,2.0
1375.5,24.4,2.4
1376.5,28.8,2.4
1377.5,21.6,3.2
1378.5,26.0,4.0
1379.5,28.8,2.0
1380.5,24.8,2.4
1381.5,23.2,2.0
1382.5,26.4,2.0
1383.5,31.6,4.0
1384.5,28.0,2.8
1385.5,22.4,2.4
1386.5,23.2,1.2
1387.5,30.8,3.2
1388.5,30.8,3.2
1389.5,29.2,1.6
1390.5,21.6,2.0
1391.5,26.8,1.2
1392.5,24.8,2.0
1393.5,24.8,3.6
1394.5,28.4,2.0
1395.5,21.6,0.8
1396.5,26.0,1.6
1397.5,22.4,4.0
1398.5,28.4,1.6
1399.5,22.8,2.4
1400.5,18.0,2.4
1401.5,22.8,1.6
1402.5,31.2,2.4
1403.5,23.2,0.8
1404.5,20.8,1.2
1405.5,22.4,1.6
1406.5,22.0,2.0
1407.5,22.4,2.0
1408.5,29.2,2.0
1409.5,26.8,2.4
1410.5,21.2,1.2
1411.5,23.6,1.6
1412.5,20.0,1.2
1413.5,15.6,2.4
1414.5,24.4,2.0
1415.5,22.4,2.8
1416.5,23.2,2.0
1417.5,21.6,3.6
1418.5,24.0,0.4
1419.5,23.2,2.0
1420.5,22.8,1.6
1421.5,22.8,2.4
1422.5,26.0,2.4
1423.5,20.8,2.4
1424.5,19.2,2.0
1425.5,23.6,1.6
1426.5,18.4,1.2
1427.5,22.0,1.2
1428.5,23.6,0.4
1429.5,23.2,1.6
1430.5,22.0,2.4
1431.5,19.6,0.4
1432.5,18.4,1.6
1433.5,20.4,1.6
1434.5,15.2,0.8
1435.5,24.4,2.4
1436.5,22.4,0.8
1437.5,20.4,0.8
1438.5,20.4,1.2
1439.5,19.2,0.8
1440.5,21.2,2.8
1441.5,18.4,1.6
1442.5,18.0,2.4
1443.5,19.6,2.4
1444.5,25.6,0.4
1445.5,20.4,1.6
1446.5,18.0,2.0
1447.5,19.6,0.4
1448.5,14.8,1.2
1449.5,16.8,1.2
1450.5,20.4,2.0
1451.5,21.6,0.8
1452.5,16.8,3.2
1453.5,20.8,1.6
1454.5,20.4,0.4
1455.5,22.0,1.2
1456.5,17.6,1.6
1457.5,22.8,0.8
1458.5,16.8,1.6
1459.5,26.0,1.6
1460.5,19.6,0.4
1461.5,17.2,0.4
1462.5,14.4,0.8
1463.5,16.8,1.2
1464.5,18.0,1.2
1465.5,21.2,0.8
1466.5,17.2,1.2
1467.5,19.6,0.8
1468.5,21.6,1.6
1469.5,16.0,1.2
1470.5,12.8,1.2
1471.5,15.2,0.8
1472.5,18.0,0.4
1473.5,20.4,0.8
1474.5,17.2,1.6
1475.5,20.4,0.8
1476.5,19.6,1.2
1477.5,19.6,0.8
1478.5,19.6,0.8
1479.5,19.6,1.2
1480.5,22.4,1.2
1481.5,18.8,2.0
1482.5,13.6,1.2
1483.5,12.0,1.2
1484.5,16.0,0.8
1485.5,19.2,0.8
1486.5,20.4,0.4
1487.5,15.2,0.4
1488.5,13.6,0.8
1489.5,17.2,1.6
1490.5,12.4,0.8
1491.5,15.2,1.2
1492.5,19.6,0.4
1493.5,20.4,1.2
1494.5,14.8,0.4
1495.5,17.6,0.8
1496.5,16.0,0.8
1497.5,18.4,1.2
1498.5,18.0,0.4
1499.5,15.2,0.0
1500.5,14.0,0.4
1501.5,15.6,0.8
1502.5,18.0,0.4
1503.5,22.0,0.8
1504.5,13.2,0.8
1505.5,13.2,0.8
