col0,col1,col2
1142.5,0.4,0.0
1143.5,0.4,0.4
1144.5,0.0,0.4
1145.5,0.8,0.0
1146.5,0.8,1.2
1147.5,1.2,1.2
1148.5,2.4,3.6
1149.5,4.8,3.2
1150.5,3.2,4.8
1151.5,4.4,6.8
1152.5,11.6,12.4
1153.5,8.4,15.2
1154.5,16.4,16.0
1155.5,30.4,28.4
1156.5,33.6,40.0
1157.5,52.8,66.8
1158.5,79.6,83.2
1159.5,114.0,128.8
1160.5,137.6,163.6
1161.5,179.6,201.6
1162.5,269.2,306.0
1163.5,351.2,401.2
1164.5,477.6,574.0
1165.5,605.2,706.8
1166.5,776.8,848.8
1167.5,992.4,1100.4
1168.5,1052.8,1179.6
1169.5,1512.8,1676.8
1170.5,1848.4,2124.0
1171.5,2238.4,2550.8
1172.5,2731.2,3024.0
1173.5,3224.0,3635.6
1174.5,3849.2,4211.2
1175.5,3920.0,4350.4
1176.5,5075.2,5612.8
1177.5,5743.6,6414.8
1178.5,6602.8,7295.6
1179.5,7486.8,8112.8
1180.5,8214.8,8902.8
1181.5,8898.0,9772.8
1182.5,8442.8,9093.6
1183.5,10358.4,11395.6
1184.5,11151.6,11900.0
1185.5,11738.0,12580.4
1186.5,12150.8,12899.2
1187.5,12684.8,13437.6
1188.5,12993.6,13643.2
1189.5,11595.6,12166.4
1190.5,13425.2,14049.2
1191.5,13250.0,13981.6
1192.5,13134.0,13583.6
1193.5,12834.4,13264.0
1194.5,12555.2,12832.8
1195.5,12034.8,12327.6
1196.5,10009.2,10354.0
1197.5,11174.4,11118.8
1198.5,10342.0,10424.8
1199.5,9788.8,9574.0
1200.5,8830.8,8728.8
1201.5,8132.4,8013.6
1202.5,7391.6,7262.0
1203.5,5893.6,5680.0
1204.5,6053.6,5728.4
1205.5,5434.8,5065.6
1206.5,4724.8,4461.6
1207.5,4176.8,3816.4
1208.5,3668.4,3245.2
1209.5,3126.4,2743.6
1210.5,2316.0,2024.0
1211.5,2279.6,1964.4
1212.5,1933.6,1652.8
1213.5,1630.0,1332.8
1214.5,1351.2,1096.4
1215.5,1134.4,869.2
1216.5,926.4,724.0
1217.5,692.0,498.0
1218.5,644.0,466.4
1219.5,552.4,353.2
1220.5,470.4,292.8
1221.5,387.2,217.2
1222.5,306.4,168.0
1223.5,278.0,138.8
1224.5,191.6,100.0
1225.5,192.0,85.2
1226.5,162.8,68.0
1227.5,143.6,63.2
1228.5,152.0,48.8
1229.5,124.0,34.4
1230.5,117.2,30.8
1231.5,96.8,22.4
1232.5,104.8,21.2
1233.5,103.6,16.4
1234.5,104.0,17.2
1235.5,90.0,17.2
1236.5,88.4,17.6
1237.5,94.0,12.0
1238.5,82.0,7.6
1239.5,84.8,10.4
1240.5,98.0,12.4
1241.5,82.4,10.4
1242.5,83.6,12.0
1243.5,79.2,14.8
1244.5,77.6,11.2
1245.5,76.8,10.4
1246.5,87.2,9.6
1247.5,79.6,8.0
1248.5,78.0,8.8
1249.5,85.6,9.2
1250.5,75.2,7.6
1251.5,76.0,5.6
1252.5,55.2,9.2
1253.5,77.2,10.4
1254.5,76.0,6.8
1255.5,67.2,8.4
1256.5,66.4,5.2
1257.5,72.8,6.4
1258.5,72.4,8.0
1259.5,54.4,4.4
1260.5,56.8,6.4
1261.5,61.6,5.2
1262.5,68.0,6.0
1263.5,62.4,4.4
1264.5,63.6,6.0
1265.5,61.2,7.6
1266.5,63.2,4.4
1267.5,73.6,6.4
1268.5,54.4,4.0
1269.5,62.8,3.6
1270.5,66.4,6.8
1271.5,62.8,6.4
1272.5,66.0,4.8
1273.5,50.4,4.4
1274.5,56.4,6.0
1275.5,66.4,2.4
1276.5,58.0,6.4
1277.5,46.8,5.2
1278.5,54.8,7.2
1279.5,53.6,5.2
1280.5,47.2,3.6
1281.5,57.6,4.0
1282.5,56.0,4.8
1283.5,53.2,3.6
1284.5,47.6,2.0
1285.5,42.8,3.6
1286.5,58.8,5.2
1287.5,49.6,3.6
1288.5,49.6,4.8
1289.5,50.4,2.8
1290.5,57.6,4.0
1291.5,46.0,1.6
1292.5,53.6,4.8
1293.5,50.4,4.8
1294.5,41.6,4.0
1295.5,45.6,3.2
1296.5,40.8,2.4
1297.5,47.2,4.8
1298.5,43.6,4.4
1299.5,51.6,4.0
1300.5,38.4,4.8
1301.5,35.2,6.4
1302.5,44.8,4.0
1303.5,44.0,3.6
1304.5,52.0,4.0
1305.5,48.0,4.0
1306.5,41.6,4.4
1307.5,50.4,2.8
1308.5,37.6,1.6
1309.5,42.0,2.0
1310.5,44.4,2.0
1311.5,53.2,1.2
1312.5,46.4,1.6
1313.5,48.8,2.4
1314.5,44.4,3.2
1315.5,33.6,3.2
1316.5,42.4,2.8
1317.5,38.0,2.0
1318.5,40.0,5.6
1319.5,36.4,3.6
1320.5,37.6,2.8
1321.5,41.6,3.6
1322.5,30.8,2.4
1323.5,36.8,3.6
1324.5,37.2,0.8
1325.5,39.6,2.8
1326.5,42.0,2.8
1327.5,36.0,2.0
1328.5,38.0,2.8
1329.5,33.2,0.4
1330.5,31.6,2.0
1331.5,36.4,2.8
1332.5,30.4,0.8
1333.5,36.8,2.8
1334.5,34.8,2.0
1335.5,34.0,2.0
1336.5,34.8,0.8
1337.5,32.4,3.6
1338.5,33.2,2.0
1339.5,36.4,1.2
1340.5,33.2,4.0
1341.5,32.4,2.8
1342.5,30.8,0.8
1343.5,28.4,2.4
1344.5,27.2,0.8
1345.5,29.6,1.6
1346.5,34.4,1.2
1347.5,35.2,2.0
1348.5,36.8,1.2
1349.5,33.2,0.8
1350.5,24.0,1.6
1351.5,30.8,1.2
1352.5,33.6,1.6
1353.5,28.8,2.0
1354.5,31.2,1.2
1355.5,31.6,2.0
1356.5,30.8,2.4
1357.5,25.6,1.2
1358.5,30.8,2.4
1359.5,28.0,1.6
1360.5,27.6,2.4
1361.5,26.0,0.4
1362.5,25.2,0.8
1363.5,24.0,2.4
1364.5,19.2,0.8
1365.5,29.6,0.4
1366.5,24.4,1.6
1367.5,27.6,2.8
1368.5,21.6,2.8
1369.5,28.8,2.4
1370.5,21.2,0.0
1371.5,28.8,1.6
1372.5,24.8,1.2
1373.5,19.6,2.0
1374.5,26.4,2.0
1375.5,23.2,1.6
1376.5,23.2,2.4
1377.5,23.6,1.6
1378.5,22.8,1.6
1379.5,21.6,2.0
1380.5,17.6,2.0
1381.5,20.0,0.8
1382.5,23.6,1.6
1383.5,25.2,1.2
1384.5,21.2,1.2
1385.5,18.0,1.6
1386.5,22.8,1.2
1387.5,23.2,1.6
1388.5,23.2,2.0
1389.5,25.6,0.8
1390.5,21.6,2.0
1391.5,22.0,1.2
1392.5,21.6,0.8
1393.5,22.0,0.8
1394.5,15.6,0.4
1395.5,20.4,0.8
1396.5,16.4,0.8
1397.5,21.2,0.4
1398.5,22.0,0.4
1399.5,21.6,0.4
1400.5,17.6,0.4
1401.5,18.0,0.8
1402.5,27.2,0.4
1403.5,16.8,0.8
1404.5,20.4,0.4
1405.5,22.0,2.4
1406.5,21.6,0.4
1407.5,18.4,0.4
1408.5,20.4,1.6
1409.5,20.0,0.8
1410.5,12.8,1.6
1411.5,20.0,0.4
1412.5,18.4,1.2
1413.5,15.2,2.0
1414.5,20.8,0.0
1415.5,22.0,0.8
1416.5,17.2,0.4
1417.5,19.2,0.0
1418.5,18.0,0.8
1419.5,17.6,0.8
