,col0,col1,col2
207,3248.5,380.0,2566.0
208,3249.5,366.0,2540.0
209,3250.5,378.0,2572.0
210,3251.5,384.0,2592.0
211,3252.5,390.0,2600.0
212,3253.5,376.0,2562.0
213,3254.5,400.0,2540.0
214,3255.5,418.0,2552.0
215,3256.5,430.0,2522.0
216,3257.5,428.0,2578.0
217,3258.5,452.0,2530.0
218,3259.5,432.0,2470.0
219,3260.5,458.0,2434.0
220,3261.5,454.0,2452.0
221,3262.5,460.0,2482.0
222,3263.5,466.0,2462.0
223,3264.5,454.0,2436.0
224,3265.5,420.0,2396.0
225,3266.5,502.0,2366.0
226,3267.5,482.0,2424.0
227,3268.5,502.0,2420.0
228,3269.5,490.0,2370.0
229,3270.5,496.0,2320.0
230,3271.5,522.0,2266.0
231,3272.5,530.0,2310.0
232,3273.5,526.0,2320.0
233,3274.5,514.0,2288.0
234,3275.5,558.0,2266.0
235,3276.5,546.0,2180.0
236,3277.5,506.0,2222.0
237,3278.5,556.0,2200.0
238,3279.5,568.0,2172.0
239,3280.5,566.0,2138.0
240,3281.5,576.0,2144.0
241,3282.5,578.0,2114.0
242,3283.5,572.0,2074.0
243,3284.5,584.0,2090.0
244,3285.5,590.0,2048.0
245,3286.5,600.0,1966.0
246,3287.5,634.0,1954.0
247,3288.5,616.0,1960.0
248,3289.5,612.0,1908.0
249,3290.5,590.0,1902.0
250,3291.5,634.0,1848.0
251,3292.5,632.0,1852.0
252,3293.5,606.0,1808.0
253,3294.5,638.0,1820.0
254,3295.5,640.0,1732.0
255,3296.5,674.0,1760.0
256,3297.5,626.0,1732.0
257,3298.5,638.0,1694.0
258,3299.5,692.0,1594.0
259,3300.5,674.0,1652.0
260,3301.5,630.0,1582.0
261,3302.5,654.0,1576.0
262,3303.5,658.0,1540.0
263,3304.5,650.0,1550.0
264,3305.5,702.0,1494.0
265,3306.5,678.0,1484.0
266,3307.5,664.0,1444.0
267,3308.5,674.0,1434.0
268,3309.5,686.0,1390.0
269,3310.5,696.0,1348.0
270,3311.5,692.0,1356.0
271,3312.5,688.0,1284.0
272,3313.5,680.0,1260.0
273,3314.5,696.0,1214.0
274,3315.5,708.0,1242.0
275,3316.5,708.0,1182.0
276,3317.5,710.0,1100.0
277,3318.5,680.0,1144.0
278,3319.5,686.0,1106.0
279,3320.5,692.0,992.0
280,3321.5,644.0,1018.0
281,3322.5,714.0,942.0
282,3323.5,692.0,964.0
283,3324.5,670.0,992.0
284,3325.5,684.0,904.0
285,3326.5,636.0,906.0
286,3327.5,680.0,884.0
287,3328.5,648.0,840.0
288,3329.5,640.0,838.0
289,3330.5,652.0,782.0
290,3331.5,654.0,764.0
291,3332.5,666.0,772.0
292,3333.5,678.0,718.0
293,3334.5,650.0,750.0
294,3335.5,698.0,632.0
295,3336.5,694.0,666.0
296,3337.5,636.0,686.0
297,3338.5,638.0,666.0
298,3339.5,684.0,668.0
299,3340.5,662.0,684.0
300,3341.5,682.0,594.0
301,3342.5,652.0,574.0
302,3343.5,672.0,586.0
303,3344.5,662.0,566.0
304,3345.5,644.0,542.0
305,3346.5,644.0,562.0
306,3347.5,662.0,496.0
307,3348.5,664.0,532.0
308,3349.5,656.0,524.0
309,3350.5,656.0,494.0
310,3351.5,648.0,478.0
311,3352.5,662.0,462.0
312,3353.5,672.0,450.0
313,3354.5,666.0,444.0
314,3355.5,662.0,434.0
315,3356.5,706.0,448.0
316,3357.5,662.0,424.0
317,3358.5,666.0,378.0
318,3359.5,648.0,406.0
319,3360.5,724.0,426.0
320,3361.5,708.0,410.0
321,3362.5,708.0,354.0
322,3363.5,712.0,348.0
323,3364.5,712.0,342.0
324,3365.5,678.0,354.0
325,3366.5,698.0,348.0
326,3367.5,698.0,328.0
327,3368.5,688.0,290.0
328,3369.5,684.0,308.0
329,3370.5,676.0,286.0
330,3371.5,694.0,284.0
331,3372.5,688.0,258.0
332,3373.5,692.0,290.0
333,3374.5,690.0,238.0
334,3375.5,682.0,262.0
335,3376.5,680.0,234.0
336,3377.5,694.0,242.0
337,3378.5,652.0,218.0
338,3379.5,678.0,232.0
339,3380.5,662.0,212.0
340,3381.5,666.0,200.0
341,3382.5,650.0,228.0
342,3383.5,710.0,204.0
343,3384.5,632.0,188.0
344,3385.5,668.0,200.0
345,3386.5,640.0,168.0
346,3387.5,666.0,208.0
347,3388.5,674.0,180.0
348,3389.5,650.0,154.0
349,3390.5,654.0,152.0
350,3391.5,672.0,158.0
351,3392.5,644.0,160.0
352,3393.5,656.0,156.0
353,3394.5,640.0,148.0
354,3395.5,644.0,146.0
355,3396.5,626.0,136.0
356,3397.5,620.0,144.0
357,3398.5,592.0,128.0
358,3399.5,628.0,138.0
359,3400.5,656.0,134.0
360,3401.5,626.0,126.0
361,3402.5,650.0,122.0
362,3403.5,644.0,108.0
363,3404.5,650.0,118.0
364,3405.5,610.0,108.0
365,3406.5,598.0,106.0
366,3407.5,620.0,108.0
367,3408.5,616.0,106.0
368,3409.5,602.0,102.0
369,3410.5,594.0,96.0
370,3411.5,594.0,110.0
371,3412.5,612.0,94.0
372,3413.5,604.0,96.0
373,3414.5,572.0,96.0
374,3415.5,638.0,92.0
375,3416.5,596.0,102.0
376,3417.5,586.0,100.0
377,3418.5,606.0,88.0
378,3419.5,608.0,90.0
379,3420.5,574.0,76.0
380,3421.5,598.0,88.0
381,3422.5,588.0,86.0
382,3423.5,594.0,82.0
383,3424.5,590.0,76.0
384,3425.5,594.0,78.0
385,3426.5,550.0,80.0
386,3427.5,610.0,84.0
387,3428.5,604.0,74.0
388,3429.5,576.0,76.0
389,3430.5,560.0,66.0
390,3431.5,590.0,64.0
391,3432.5,574.0,72.0
392,3433.5,566.0,76.0
393,3434.5,552.0,74.0
394,3435.5,612.0,62.0
395,3436.5,588.0,64.0
396,3437.5,562.0,60.0
397,3438.5,556.0,70.0
398,3439.5,570.0,58.0
399,3440.5,536.0,72.0
400,3441.5,550.0,64.0
401,3442.5,540.0,72.0
402,3443.5,564.0,52.0
403,3444.5,542.0,58.0
404,3445.5,554.0,56.0
