col0,col1,col2
1144.5,1.2,0.0
1145.5,0.4,0.8
1146.5,0.4,1.6
1147.5,2.4,2.4
1148.5,3.2,1.2
1149.5,6.0,4.8
1150.5,7.2,2.8
1151.5,7.6,6.8
1152.5,13.6,13.2
1153.5,16.0,14.8
1154.5,20.8,25.2
1155.5,33.6,42.0
1156.5,43.6,53.2
1157.5,71.2,75.2
1158.5,83.6,114.8
1159.5,126.8,148.0
1160.5,171.2,212.0
1161.5,191.2,239.6
1162.5,272.8,339.2
1163.5,364.0,463.2
1164.5,461.6,601.2
1165.5,608.0,795.2
1166.5,778.8,1001.6
1167.5,990.8,1241.6
1168.5,1059.2,1322.4
1169.5,1550.0,1882.8
1170.5,1805.2,2306.0
1171.5,2227.6,2728.4
1172.5,2687.2,3338.8
1173.5,3145.6,3870.4
1174.5,3704.4,4474.8
1175.5,3774.0,4475.2
1176.5,4935.6,5903.2
1177.5,5535.6,6627.2
1178.5,6286.0,7430.0
1179.5,7054.4,8216.8
1180.5,7818.8,9122.4
1181.5,8579.6,9908.8
1182.5,8094.8,9189.6
1183.5,9817.2,11249.6
1184.5,10520.0,12024.4
1185.5,11184.0,12498.8
1186.5,11565.2,12906.0
1187.5,12084.4,13427.2
1188.5,12348.4,13585.2
1189.5,10948.4,11913.6
1190.5,12584.0,13627.6
1191.5,12709.2,13526.4
1192.5,12494.4,13263.6
1193.5,12256.8,12822.0
1194.5,12078.8,12527.2
1195.5,11762.0,11966.4
1196.5,9896.8,9929.6
1197.5,10679.2,10644.8
1198.5,10196.4,9876.0
1199.5,9470.4,9257.6
1200.5,8816.4,8416.0
1201.5,8196.0,7614.4
1202.5,7478.8,6984.4
1203.5,5894.8,5399.2
1204.5,6082.8,5598.8
1205.5,5526.8,4900.0
1206.5,4879.6,4224.0
1207.5,4355.6,3728.8
1208.5,3753.6,3174.4
1209.5,3424.8,2705.2
1210.5,2499.6,2052.8
1211.5,2500.0,1981.6
1212.5,2130.0,1631.6
1213.5,1797.2,1356.0
1214.5,1556.0,1119.6
1215.5,1300.8,917.6
1216.5,1088.4,735.2
1217.5,811.2,544.4
1218.5,823.2,529.2
1219.5,662.0,436.0
1220.5,561.6,345.2
1221.5,467.6,282.4
1222.5,407.6,239.6
1223.5,320.8,186.0
1224.5,232.8,146.0
1225.5,254.8,150.4
1226.5,223.2,104.8
1227.5,220.0,106.0
1228.5,190.8,92.4
1229.5,162.4,76.8
1230.5,146.0,74.8
1231.5,126.0,52.0
1232.5,126.0,61.6
1233.5,115.6,50.8
1234.5,116.8,47.6
1235.5,111.6,54.0
1236.5,114.0,43.2
1237.5,108.8,51.6
1238.5,88.8,39.2
1239.5,103.2,44.8
1240.5,83.6,33.6
1241.5,104.4,31.2
1242.5,96.0,34.8
1243.5,93.6,38.8
1244.5,81.6,32.0
1245.5,78.4,25.6
1246.5,89.2,29.6
1247.5,85.6,30.8
1248.5,87.6,23.2
1249.5,76.0,29.6
1250.5,79.6,33.6
1251.5,81.6,30.0
1252.5,67.2,21.6
1253.5,78.4,25.6
1254.5,69.6,20.0
1255.5,90.0,26.8
1256.5,76.0,29.6
1257.5,77.6,24.4
1258.5,80.4,24.4
1259.5,64.8,21.2
1260.5,70.8,17.6
1261.5,75.6,21.6
1262.5,69.6,20.8
1263.5,68.8,20.0
1264.5,66.4,15.6
1265.5,71.2,20.8
1266.5,54.0,15.2
1267.5,70.8,15.2
1268.5,66.0,17.2
1269.5,68.4,16.4
1270.5,60.4,19.6
1271.5,55.6,17.6
1272.5,67.2,18.8
1273.5,43.6,12.0
1274.5,66.4,14.0
1275.5,57.6,15.6
1276.5,68.0,16.4
1277.5,65.2,12.4
1278.5,63.6,15.6
1279.5,66.0,16.4
1280.5,50.8,14.4
1281.5,62.4,13.6
1282.5,60.0,10.8
1283.5,59.2,20.0
1284.5,71.6,16.0
1285.5,60.8,11.2
1286.5,53.6,14.8
1287.5,48.4,10.8
1288.5,60.8,16.8
1289.5,56.0,7.6
1290.5,56.4,10.4
1291.5,62.8,12.4
1292.5,51.6,13.2
1293.5,58.8,14.0
1294.5,45.6,12.0
1295.5,50.8,11.6
1296.5,48.0,9.2
1297.5,50.0,10.8
1298.5,54.0,8.0
1299.5,48.8,11.2
1300.5,54.8,11.6
1301.5,52.4,8.4
1302.5,54.0,8.8
1303.5,46.8,10.4
1304.5,49.2,11.6
1305.5,53.6,12.8
1306.5,52.0,8.4
1307.5,51.2,11.2
1308.5,44.8,5.6
1309.5,53.2,7.2
1310.5,50.0,8.8
1311.5,57.6,7.6
1312.5,51.6,8.0
1313.5,49.6,5.6
1314.5,50.0,7.6
1315.5,49.2,7.2
1316.5,44.8,8.0
1317.5,48.8,7.2
1318.5,45.6,10.0
1319.5,60.4,8.8
1320.5,54.4,10.0
1321.5,47.2,6.8
1322.5,43.6,8.0
1323.5,45.6,12.4
1324.5,52.0,7.6
1325.5,51.6,5.6
1326.5,46.8,13.2
1327.5,52.4,7.6
1328.5,42.4,7.6
1329.5,44.4,5.2
1330.5,42.0,6.4
1331.5,49.2,6.0
1332.5,46.4,6.8
1333.5,48.0,4.0
1334.5,39.2,4.4
1335.5,46.0,7.2
1336.5,39.2,5.6
1337.5,50.0,7.2
1338.5,41.6,6.8
1339.5,49.2,5.6
1340.5,37.2,6.0
1341.5,33.2,5.2
1342.5,35.6,4.8
1343.5,38.8,7.2
1344.5,50.4,8.0
1345.5,46.8,4.8
1346.5,37.6,6.4
1347.5,39.6,7.2
1348.5,42.8,5.2
1349.5,39.2,5.2
1350.5,37.6,5.2
1351.5,42.4,5.2
1352.5,42.4,6.0
1353.5,38.4,4.8
1354.5,35.2,5.6
1355.5,44.8,6.0
1356.5,40.0,4.4
1357.5,34.4,3.6
1358.5,41.2,4.8
1359.5,36.8,6.8
1360.5,40.0,5.6
1361.5,39.2,7.6
1362.5,42.0,2.8
1363.5,39.6,3.6
1364.5,36.8,3.2
1365.5,43.6,4.8
1366.5,43.6,6.4
1367.5,35.6,6.0
1368.5,34.8,4.0
1369.5,37.2,6.0
1370.5,35.2,5.2
1371.5,32.0,3.2
1372.5,35.2,8.4
1373.5,32.8,3.6
1374.5,32.4,3.2
1375.5,31.2,6.0
1376.5,39.6,3.6
1377.5,36.8,4.4
1378.5,33.6,3.2
1379.5,34.0,3.6
1380.5,34.8,4.0
1381.5,31.2,6.8
1382.5,40.0,4.8
1383.5,30.4,5.2
1384.5,34.8,3.2
1385.5,24.4,4.0
1386.5,26.8,5.6
1387.5,34.0,8.0
1388.5,38.0,3.6
1389.5,32.0,4.0
1390.5,34.0,4.4
1391.5,27.6,4.4
1392.5,31.2,3.6
1393.5,36.8,6.8
1394.5,37.6,4.4
1395.5,29.6,3.6
1396.5,32.0,4.0
1397.5,40.0,2.8
1398.5,32.8,3.2
1399.5,29.6,4.8
1400.5,32.0,2.8
1401.5,35.2,3.2
1402.5,32.0,3.2
1403.5,31.6,4.0
1404.5,32.0,3.2
1405.5,36.8,2.8
1406.5,21.2,2.4
