col0,col1,col2
1148.5,3.0,0.0
1149.5,2.0,2.0
1150.5,2.0,3.0
1151.5,4.0,7.0
1152.5,8.0,11.0
1153.5,15.0,14.0
1154.5,11.0,18.0
1155.5,21.0,30.0
1156.5,25.0,33.0
1157.5,49.0,45.0
1158.5,77.0,65.0
1159.5,89.0,102.0
1160.5,129.0,149.0
1161.5,143.0,168.0
1162.5,231.0,251.0
1163.5,301.0,339.0
1164.5,380.0,445.0
1165.5,449.0,575.0
1166.5,668.0,727.0
1167.5,836.0,984.0
1168.5,971.0,1055.0
1169.5,1302.0,1461.0
1170.5,1650.0,1775.0
1171.5,1984.0,2224.0
1172.5,2381.0,2752.0
1173.5,2852.0,3212.0
1174.5,3495.0,3844.0
1175.5,3558.0,3871.0
1176.5,4589.0,5008.0
1177.5,5192.0,5873.0
1178.5,5957.0,6641.0
1179.5,6744.0,7555.0
1180.5,7391.0,8166.0
1181.5,8216.0,9095.0
1182.5,7822.0,8794.0
1183.5,9773.0,10741.0
1184.5,10430.0,11331.0
1185.5,11178.0,12176.0
1186.5,11660.0,12682.0
1187.5,12244.0,13184.0
1188.5,12821.0,13528.0
1189.5,11403.0,12119.0
1190.5,13284.0,13836.0
1191.5,13166.0,14018.0
1192.5,13328.0,13847.0
1193.5,13025.0,13381.0
1194.5,12795.0,13142.0
1195.5,12421.0,12593.0
1196.5,10425.0,10747.0
1197.5,11336.0,11561.0
1198.5,10924.0,10886.0
1199.5,10167.0,10077.0
1200.5,9417.0,9273.0
1201.5,8688.0,8582.0
1202.5,7815.0,7819.0
1203.5,6281.0,6145.0
1204.5,6606.0,6155.0
1205.5,5920.0,5561.0
1206.5,5196.0,4899.0
1207.5,4491.0,4133.0
1208.5,4032.0,3574.0
1209.5,3453.0,3081.0
1210.5,2589.0,2283.0
1211.5,2651.0,2213.0
1212.5,2172.0,1894.0
1213.5,1881.0,1628.0
1214.5,1561.0,1287.0
1215.5,1273.0,1038.0
1216.5,1092.0,846.0
1217.5,779.0,619.0
1218.5,781.0,571.0
1219.5,640.0,452.0
1220.5,528.0,355.0
1221.5,407.0,267.0
1222.5,361.0,220.0
1223.5,317.0,173.0
1224.5,232.0,134.0
1225.5,245.0,98.0
1226.5,227.0,82.0
1227.5,187.0,72.0
1228.5,157.0,62.0
1229.5,162.0,43.0
1230.5,151.0,32.0
1231.5,134.0,32.0
1232.5,109.0,34.0
1233.5,116.0,40.0
1234.5,106.0,25.0
1235.5,115.0,23.0
1236.5,107.0,14.0
1237.5,99.0,23.0
1238.5,86.0,18.0
1239.5,85.0,27.0
1240.5,95.0,22.0
1241.5,99.0,15.0
1242.5,91.0,18.0
1243.5,97.0,20.0
1244.5,101.0,16.0
1245.5,68.0,23.0
1246.5,94.0,16.0
1247.5,77.0,15.0
1248.5,90.0,17.0
1249.5,77.0,16.0
1250.5,73.0,6.0
1251.5,85.0,11.0
1252.5,86.0,9.0
1253.5,73.0,14.0
1254.5,87.0,11.0
1255.5,79.0,12.0
1256.5,95.0,9.0
1257.5,87.0,14.0
1258.5,77.0,10.0
1259.5,62.0,9.0
1260.5,76.0,8.0
1261.5,76.0,9.0
1262.5,73.0,7.0
1263.5,71.0,10.0
1264.5,63.0,8.0
1265.5,76.0,6.0
1266.5,66.0,5.0
1267.5,67.0,7.0
1268.5,71.0,6.0
1269.5,79.0,8.0
1270.5,70.0,8.0
1271.5,70.0,6.0
1272.5,64.0,9.0
1273.5,57.0,9.0
1274.5,72.0,5.0
1275.5,71.0,6.0
1276.5,70.0,8.0
1277.5,55.0,5.0
1278.5,64.0,9.0
1279.5,66.0,8.0
1280.5,55.0,10.0
1281.5,68.0,6.0
1282.5,64.0,7.0
1283.5,70.0,6.0
1284.5,62.0,4.0
1285.5,52.0,5.0
1286.5,56.0,3.0
1287.5,60.0,3.0
1288.5,58.0,3.0
1289.5,69.0,3.0
1290.5,63.0,9.0
1291.5,59.0,5.0
1292.5,54.0,2.0
1293.5,49.0,4.0
1294.5,58.0,4.0
1295.5,53.0,9.0
1296.5,61.0,6.0
1297.5,46.0,5.0
1298.5,39.0,5.0
1299.5,46.0,5.0
1300.5,59.0,4.0
1301.5,43.0,4.0
1302.5,54.0,4.0
1303.5,50.0,4.0
1304.5,51.0,5.0
1305.5,48.0,5.0
1306.5,52.0,4.0
1307.5,44.0,4.0
1308.5,36.0,2.0
1309.5,43.0,2.0
1310.5,60.0,8.0
1311.5,61.0,5.0
1312.5,50.0,3.0
1313.5,48.0,3.0
1314.5,45.0,5.0
1315.5,35.0,1.0
1316.5,49.0,2.0
1317.5,31.0,5.0
1318.5,39.0,6.0
1319.5,46.0,5.0
1320.5,40.0,2.0
1321.5,54.0,4.0
1322.5,37.0,6.0
1323.5,50.0,3.0
1324.5,47.0,7.0
1325.5,38.0,6.0
1326.5,55.0,1.0
1327.5,39.0,2.0
1328.5,42.0,4.0
1329.5,33.0,5.0
1330.5,35.0,3.0
1331.5,42.0,2.0
1332.5,42.0,3.0
1333.5,35.0,0.0
1334.5,35.0,3.0
1335.5,40.0,5.0
1336.5,31.0,2.0
1337.5,40.0,5.0
1338.5,33.0,3.0
1339.5,29.0,1.0
1340.5,41.0,2.0
1341.5,31.0,2.0
1342.5,34.0,2.0
1343.5,32.0,3.0
1344.5,34.0,1.0
1345.5,39.0,2.0
1346.5,32.0,4.0
1347.5,30.0,0.0
1348.5,37.0,2.0
1349.5,28.0,2.0
1350.5,27.0,3.0
1351.5,34.0,1.0
1352.5,40.0,2.0
1353.5,44.0,6.0
1354.5,34.0,2.0
1355.5,39.0,2.0
1356.5,26.0,3.0
1357.5,27.0,1.0
1358.5,32.0,3.0
1359.5,30.0,0.0
1360.5,30.0,0.0
1361.5,29.0,3.0
1362.5,30.0,1.0
1363.5,26.0,2.0
1364.5,26.0,0.0
1365.5,24.0,2.0
1366.5,28.0,3.0
1367.5,32.0,1.0
1368.5,32.0,1.0
1369.5,37.0,2.0
1370.5,33.0,3.0
1371.5,30.0,0.0
1372.5,25.0,1.0
1373.5,31.0,4.0
1374.5,22.0,3.0
1375.5,26.0,4.0
1376.5,27.0,3.0
1377.5,24.0,2.0
1378.5,21.0,1.0
1379.5,25.0,2.0
1380.5,28.0,0.0
1381.5,27.0,1.0
1382.5,27.0,2.0
1383.5,31.0,2.0
1384.5,25.0,2.0
1385.5,22.0,0.0
1386.5,32.0,2.0
1387.5,26.0,1.0
1388.5,20.0,0.0
1389.5,28.0,1.0
1390.5,28.0,2.0
1391.5,24.0,0.0
1392.5,13.0,2.0
1393.5,29.0,3.0
1394.5,30.0,0.0
1395.5,19.0,1.0
1396.5,21.0,0.0
1397.5,21.0,1.0
1398.5,28.0,1.0
1399.5,19.0,0.0
1400.5,18.0,1.0
1401.5,18.0,0.0
1402.5,24.0,1.0
1403.5,22.0,0.0
1404.5,17.0,2.0
1405.5,26.0,0.0
1406.5,22.0,3.0
1407.5,23.0,1.0
1408.5,24.0,2.0
1409.5,21.0,0.0
1410.5,19.0,0.0
1411.5,25.0,0.0
1412.5,18.0,2.0
1413.5,16.0,1.0
1414.5,15.0,1.0
1415.5,22.0,0.0
1416.5,19.0,1.0
1417.5,18.0,2.0
1418.5,18.0,0.0
1419.5,15.0,2.0
1420.5,15.0,0.0
1421.5,22.0,1.0
1422.5,16.0,2.0
1423.5,15.0,0.0
1424.5,19.0,0.0
1425.5,24.0,0.0
1426.5,17.0,1.0
1427.5,13.0,0.0
1428.5,19.0,0.0
1429.5,17.0,1.0
1430.5,15.0,0.0
1431.5,17.0,0.0
1432.5,16.0,0.0
1433.5,16.0,1.0
1434.5,21.0,1.0
1435.5,17.0,2.0
1436.5,18.0,1.0
1437.5,19.0,0.0
1438.5,9.0,0.0
1439.5,14.0,0.0
1440.5,21.0,2.0
1441.5,13.0,0.0
1442.5,22.0,1.0
1443.5,9.0,2.0
1444.5,14.0,4.0
1445.5,16.0,0.0
1446.5,11.0,0.0
1447.5,13.0,2.0
1448.5,18.0,0.0
1449.5,12.0,1.0
1450.5,17.0,1.0
1451.5,14.0,1.0
1452.5,9.0,0.0
1453.5,21.0,0.0
1454.5,13.0,0.0
1455.5,12.0,1.0
1456.5,14.0,0.0
1457.5,14.0,1.0
1458.5,11.0,4.0
1459.5,14.0,1.0
1460.5,17.0,0.0
1461.5,17.0,0.0
1462.5,11.0,0.0
1463.5,11.0,0.0
1464.5,19.0,1.0
1465.5,17.0,1.0
1466.5,14.0,2.0
1467.5,14.0,0.0
1468.5,14.0,1.0
1469.5,12.0,0.0
1470.5,14.0,1.0
1471.5,12.0,2.0
1472.5,12.0,0.0
1473.5,14.0,2.0
1474.5,15.0,0.0
1475.5,11.0,0.0
1476.5,9.0,0.0
1477.5,14.0,0.0
1478.5,10.0,1.0
1479.5,9.0,0.0
1480.5,11.0,1.0
1481.5,15.0,0.0
1482.5,6.0,0.0
1483.5,8.0,0.0
1484.5,8.0,1.0
1485.5,13.0,1.0
1486.5,11.0,2.0
1487.5,13.0,0.0
1488.5,12.0,0.0
1489.5,14.0,0.0
1490.5,8.0,0.0
1491.5,14.0,0.0
1492.5,14.0,2.0
1493.5,12.0,0.0
1494.5,9.0,1.0
1495.5,13.0,0.0
1496.5,10.0,0.0
1497.5,5.0,0.0
1498.5,9.0,0.0
1499.5,10.0,0.0
1500.5,7.0,0.0
1501.5,12.0,0.0
1502.5,9.0,1.0
1503.5,10.0,0.0
1504.5,11.0,0.0
1505.5,9.0,0.0
1506.5,6.0,0.0
1507.5,9.0,0.0
1508.5,11.0,0.0
1509.5,10.0,0.0
1510.5,11.0,0.0
1511.5,3.0,1.0
1512.5,7.0,1.0
1513.5,7.0,0.0
1514.5,13.0,1.0
1515.5,8.0,0.0
1516.5,11.0,0.0
1517.5,12.0,0.0
1518.5,4.0,1.0
1519.5,8.0,0.0
1520.5,6.0,1.0
1521.5,10.0,0.0
1522.5,9.0,1.0
1523.5,8.0,1.0
1524.5,15.0,0.0
1525.5,4.0,0.0
1526.5,10.0,0.0
1527.5,9.0,0.0
1528.5,7.0,0.0
1529.5,6.0,1.0
1530.5,12.0,0.0
1531.5,7.0,0.0
1532.5,4.0,1.0
1533.5,5.0,0.0
