wave, sky
10000,   0.2
2600.0,	0.2
2300.0,	0.2
2210.4,	0.2
2180.0,	0.2
2160.0,	0.2
2140.0,	0.7
2120.0,	0.2
2100.0,	0.2
2080.0,	0.2
2059.0,	0.2
2060.0,	1
2061.0,	0.2
2040.0,	0.2
2020.0,	0.2
2000.0,	0.2
1930.7,	0.2
1820.3,	0.2
1750.0,	0.2
1700.0,	0.2
1640.8,	0.2
1600.8,	0.2
1540.5,	0.2
1540.5,	0.2
0,      0.2
