NUV, %
  195.50,  34.5260 
  195.60,  34.7572 
  195.70,  34.9884 
  195.80,  35.2196 
  195.90,  35.4508 
  196.00,  35.6820 
  196.10,  35.9132 
  196.20,  36.1444 
  196.30,  36.3756 
  196.40,  36.6068 
  196.50,  36.8380 
  196.60,  37.0692 
  196.70,  37.3004 
  196.80,  37.5316 
  196.90,  37.7628 
  197.00,  37.9940 
  197.10,  38.2252 
  197.20,  38.4564 
  197.30,  38.6876 
  197.40,  38.9188 
  197.50,  39.1500 
  197.60,  39.3812 
  197.70,  39.6124 
  197.80,  39.8436 
  197.90,  40.0748 
  198.00,  40.3060 
  198.10,  40.5372 
  198.20,  40.7684 
  198.30,  40.9996 
  198.40,  41.2308 
  198.50,  41.4620 
  198.60,  41.6932 
  198.70,  41.9244 
  198.80,  42.1556 
  198.90,  42.3868 
  199.00,  42.6180 
  199.10,  42.8492 
  199.20,  43.0804 
  199.30,  43.3116 
  199.40,  43.5428 
  199.50,  43.7740 
  199.60,  44.0052 
  199.70,  44.2364 
  199.80,  44.4676 
  199.90,  44.6988 
  200.00,  44.9300 
  200.10,  44.9736 
  200.20,  45.0172 
  200.30,  45.0608 
  200.40,  45.1044 
  200.50,  45.1480 
  200.60,  45.1916 
  200.70,  45.2352 
  200.80,  45.2788 
  200.90,  45.3224 
  201.00,  45.3660 
  201.10,  45.4096 
  201.20,  45.4532 
  201.30,  45.4968 
  201.40,  45.5404 
  201.50,  45.5840 
  201.60,  45.6276 
  201.70,  45.6712 
  201.80,  45.7148 
  201.90,  45.7584 
  202.00,  45.8020 
  202.10,  45.8456 
  202.20,  45.8892 
  202.30,  45.9328 
  202.40,  45.9764 
  202.50,  46.0200 
  202.60,  46.0636 
  202.70,  46.1072 
  202.80,  46.1508 
  202.90,  46.1944 
  203.00,  46.2380 
  203.10,  46.2816 
  203.20,  46.3252 
  203.30,  46.3688 
  203.40,  46.4124 
  203.50,  46.4560 
  203.60,  46.4996 
  203.70,  46.5432 
  203.80,  46.5868 
  203.90,  46.6304 
  204.00,  46.6740 
  204.10,  46.7176 
  204.20,  46.7612 
  204.30,  46.8048 
  204.40,  46.8484 
  204.50,  46.8920 
  204.60,  46.9356 
  204.70,  46.9792 
  204.80,  47.0228 
  204.90,  47.0664 
  205.00,  47.1100 
  205.10,  47.2198 
  205.20,  47.3296 
  205.30,  47.4394 
  205.40,  47.5492 
  205.50,  47.6590 
  205.60,  47.7688 
  205.70,  47.8786 
  205.80,  47.9884 
  205.90,  48.0982 
  206.00,  48.2080 
  206.10,  48.3178 
  206.20,  48.4276 
  206.30,  48.5374 
  206.40,  48.6472 
  206.50,  48.7570 
  206.60,  48.8668 
  206.70,  48.9766 
  206.80,  49.0864 
  206.90,  49.1962 
  207.00,  49.3060 
  207.10,  49.4158 
  207.20,  49.5256 
  207.30,  49.6354 
  207.40,  49.7452 
  207.50,  49.8550 
  207.60,  49.9648 
  207.70,  50.0746 
  207.80,  50.1844 
  207.90,  50.2942 
  208.00,  50.4040 
  208.10,  50.5138 
  208.20,  50.6236 
  208.30,  50.7334 
  208.40,  50.8432 
  208.50,  50.9530 
  208.60,  51.0628 
  208.70,  51.1726 
  208.80,  51.2824 
  208.90,  51.3922 
  209.00,  51.5020 
  209.10,  51.6118 
  209.20,  51.7216 
  209.30,  51.8314 
  209.40,  51.9412 
  209.50,  52.0510 
  209.60,  52.1608 
  209.70,  52.2706 
  209.80,  52.3804 
  209.90,  52.4902 
  210.00,  52.6000 
  210.10,  52.7380 
  210.20,  52.8760 
  210.30,  53.0140 
  210.40,  53.1520 
  210.50,  53.2900 
  210.60,  53.4280 
  210.70,  53.5660 
  210.80,  53.7040 
  210.90,  53.8420 
  211.00,  53.9800 
  211.10,  54.1180 
  211.20,  54.2560 
  211.30,  54.3940 
  211.40,  54.5320 
  211.50,  54.6700 
  211.60,  54.8080 
  211.70,  54.9460 
  211.80,  55.0840 
  211.90,  55.2220 
  212.00,  55.3600 
  212.10,  55.4980 
  212.20,  55.6360 
  212.30,  55.7740 
  212.40,  55.9120 
  212.50,  56.0500 
  212.60,  56.1880 
  212.70,  56.3260 
  212.80,  56.4640 
  212.90,  56.6020 
  213.00,  56.7400 
  213.10,  56.8780 
  213.20,  57.0160 
  213.30,  57.1540 
  213.40,  57.2920 
  213.50,  57.4300 
  213.60,  57.5680 
  213.70,  57.7060 
  213.80,  57.8440 
  213.90,  57.9820 
  214.00,  58.1200 
