wave_microns,transmission
3.0,0.9999999828402604
3.00025,0.9999999828359483
3.0005,0.9999999828316362
3.00075,0.9999999828272238
3.001,0.9999999828227111
3.00125,0.9999999828183991
3.0015,0.999999982814087
3.00175,0.9999999828097749
3.002,0.9999999828054628
3.00225,0.9999999828011507
3.0025,0.9999999827962368
3.00275,0.9999999827914233
3.003,0.9999999827871112
3.00325,0.9999999827826989
3.0035,0.9999999827783868
3.00375,0.9999999827740746
3.004,0.9999999827697625
3.00425,0.9999999827654504
3.0045,0.9999999827610381
3.00475,0.999999982756726
3.005,0.9999999827523136
3.00525,0.9999999827473999
3.0055,0.9999999827422855
3.00575,0.9999999827378732
3.006,0.9999999827316557
3.00625,0.9999999827272433
3.0065,0.9999999827229312
3.00675,0.9999999827186191
3.007,0.9999999827142068
3.00725,0.9999999827089922
3.0075,0.9999999827045797
3.00775,0.9999999827002676
3.008,0.9999999826959555
3.00825,0.9999999826915431
3.0085,0.999999982687231
3.00875,0.9999999826829189
3.009,0.9999999826785065
3.00925,0.9999999826741944
3.0095,0.9999999826697821
3.00975,0.99999998266547
3.01,0.9999999826580492
3.01025,0.9999999826534363
3.0105,0.9999999826491242
3.01075,0.9999999826408008
3.011,0.9999999826363885
3.01125,0.9999999826320763
3.0115,0.999999982627664
3.01175,0.9999999826233519
3.012,0.9999999826189395
3.01225,0.9999999826136245
3.0125,0.9999999826092122
3.01275,0.9999999826047998
3.013,0.9999999826003875
3.01325,0.9999999825960754
3.0135,0.9999999825915626
3.01375,0.9999999825871503
3.014,0.9999999825828382
3.01425,0.9999999825784258
3.0145,0.9999999825741137
3.01475,0.9999999825697014
3.015,0.999999982565289
3.01525,0.9999999825609769
3.0155,0.9999999825565645
3.01575,0.9999999825521521
3.016,0.9999999825477397
3.01625,0.9999999825434276
3.0165,0.9999999825390152
3.01675,0.9999999825346029
3.017,0.9999999825289871
3.01725,0.9999999825245748
3.0175,0.9999999825202627
3.01775,0.9999999825158503
3.018,0.9999999825114378
3.01825,0.9999999825070255
3.0185,0.9999999825026131
3.01875,0.999999982498301
3.019,0.9999999824902785
3.01925,0.9999999824858662
3.0195,0.9999999824814537
3.01975,0.9999999824756375
